Iteration,Time (ms),# Perturbations,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Slip Rate,Rupture Rate Minimization,MFD UncertaintyWeighted
9114746,30190,858162,1740,8.1731072E8,8.1731072E8,0.0,0.0,5.8523828E7,0.0,7.5878688E8
17485487,60329,1442868,1132,7.7542867E8,7.7542867E8,0.0,0.0,4.500278E7,0.0,7.3042592E8
26444074,90439,1816386,876,7.6678272E8,7.6678272E8,0.0,0.0,4.1971572E7,0.0,7.2481114E8
35234757,120540,2111249,754,7.6257133E8,7.6257133E8,0.0,0.0,4.0234268E7,0.0,7.2233709E8
43086165,150587,2366637,656,7.5978323E8,7.5978323E8,0.0,0.0,3.9291688E7,0.0,7.2049158E8
50937160,180652,2597586,606,7.5792608E8,7.5792608E8,0.0,0.0,3.8770248E7,0.0,7.1915584E8
58774203,210681,2811135,552,7.5652691E8,7.5652691E8,0.0,0.0,3.8467636E7,0.0,7.1805926E8
66593675,240704,3012155,555,7.5546867E8,7.5546867E8,0.0,0.0,3.810264E7,0.0,7.1736602E8
74508029,270744,3204000,526,7.5475437E8,7.5475437E8,0.0,0.0,3.7824476E7,0.0,7.1692992E8
82260150,300790,3382414,510,7.5416346E8,7.5416346E8,0.0,0.0,3.7745408E7,0.0,7.1641805E8
91028437,330953,3570230,498,7.5360186E8,7.5360186E8,0.0,0.0,3.7750176E7,0.0,7.1585171E8
99073159,360984,3740679,474,7.531465E8,7.531465E8,0.0,0.0,3.770806E7,0.0,7.1543846E8
107008961,391027,3904246,460,7.5275456E8,7.5275456E8,0.0,0.0,3.7639036E7,0.0,7.1511552E8
115002217,421052,4064402,459,7.5241856E8,7.5241856E8,0.0,0.0,3.757418E7,0.0,7.1484442E8
122938490,451084,4223368,456,7.5214726E8,7.5214726E8,0.0,0.0,3.7519724E7,0.0,7.1462752E8
130906317,481107,4378012,448,7.5191482E8,7.5191482E8,0.0,0.0,3.7381708E7,0.0,7.1453306E8
138836974,511128,4528697,437,7.5171456E8,7.5171456E8,0.0,0.0,3.7367872E7,0.0,7.1434669E8
146780805,541167,4673431,423,7.515577E8,7.515577E8,0.0,0.0,3.7329416E7,0.0,7.1422829E8
154655961,571202,4816017,423,7.5142304E8,7.5142304E8,0.0,0.0,3.727538E7,0.0,7.1414765E8
162516559,601233,4959827,416,7.5130054E8,7.5130054E8,0.0,0.0,3.7260524E7,0.0,7.1404E8
171449965,631411,5106617,417,7.5118432E8,7.5118432E8,0.0,0.0,3.7235132E7,0.0,7.1394918E8
179496254,661441,5245127,406,7.5107891E8,7.5107891E8,0.0,0.0,3.7201568E7,0.0,7.1387738E8
187404930,691464,5376438,398,7.5098867E8,7.5098867E8,0.0,0.0,3.7187584E7,0.0,7.1380109E8
195286211,721487,5505834,387,7.5090592E8,7.5090592E8,0.0,0.0,3.7161536E7,0.0,7.1374438E8
203366632,751543,5639519,400,7.5082285E8,7.5082285E8,0.0,0.0,3.7116204E7,0.0,7.1370662E8
211253661,781603,5769430,391,7.5076E8,7.5076E8,0.0,0.0,3.709694E7,0.0,7.1366304E8
219122783,811639,5895512,387,7.5071898E8,7.5071898E8,0.0,0.0,3.7109716E7,0.0,7.1360928E8
227053310,841663,6023412,385,7.5068192E8,7.5068192E8,0.0,0.0,3.709376E7,0.0,7.1358816E8
234945565,871693,6147481,377,7.5065306E8,7.5065306E8,0.0,0.0,3.7093828E7,0.0,7.1355923E8
242838096,901733,6270190,378,7.5062714E8,7.5062714E8,0.0,0.0,3.7099868E7,0.0,7.1352723E8
250755812,931798,6394655,374,7.5060282E8,7.5060282E8,0.0,0.0,3.709082E7,0.0,7.13512E8
258635452,961836,6516401,380,7.5058106E8,7.5058106E8,0.0,0.0,3.7084032E7,0.0,7.1349702E8
266503246,991867,6635972,371,7.5056154E8,7.5056154E8,0.0,0.0,3.7075324E7,0.0,7.1348621E8
274441718,1021908,6752587,365,7.5054387E8,7.5054387E8,0.0,0.0,3.7092648E7,0.0,7.134512E8
282350440,1051943,6866851,362,7.5052877E8,7.5052877E8,0.0,0.0,3.7090452E7,0.0,7.1343827E8
290199438,1081974,6981066,363,7.5051526E8,7.5051526E8,0.0,0.0,3.707128E7,0.0,7.1344403E8
298048515,1112005,7092328,359,7.505033E8,7.505033E8,0.0,0.0,3.7075556E7,0.0,7.1342771E8
305830249,1142072,7202526,358,7.504919E8,7.504919E8,0.0,0.0,3.7090104E7,0.0,7.1340179E8
313734610,1172094,7315989,358,7.5048102E8,7.5048102E8,0.0,0.0,3.7085908E7,0.0,7.1339514E8
321636232,1202127,7429507,354,7.5047085E8,7.5047085E8,0.0,0.0,3.709284E7,0.0,7.1337805E8
329489971,1232159,7541702,352,7.5046125E8,7.5046125E8,0.0,0.0,3.7092984E7,0.0,7.1336826E8
337323447,1262181,7653318,354,7.5045178E8,7.5045178E8,0.0,0.0,3.7093672E7,0.0,7.1335814E8
345277252,1292203,7764490,350,7.5044294E8,7.5044294E8,0.0,0.0,3.7090496E7,0.0,7.1335245E8
353154499,1322237,7874152,350,7.504345E8,7.504345E8,0.0,0.0,3.7082044E7,0.0,7.1335245E8
362364630,1352408,7989451,353,7.5042624E8,7.5042624E8,0.0,0.0,3.7085236E7,0.0,7.1334099E8
370472047,1382640,8098976,353,7.5041856E8,7.5041856E8,0.0,0.0,3.708532E7,0.0,7.1333325E8
379640022,1412838,8212905,352,7.504105E8,7.504105E8,0.0,0.0,3.7083312E7,0.0,7.1332717E8
387580776,1442904,8320630,349,7.504032E8,7.504032E8,0.0,0.0,3.7086244E7,0.0,7.1331693E8
395521784,1472969,8428699,348,7.5039648E8,7.5039648E8,0.0,0.0,3.7077276E7,0.0,7.1331917E8
403469049,1503009,8537276,344,7.5039008E8,7.5039008E8,0.0,0.0,3.707596E7,0.0,7.1331411E8
411430620,1533050,8645186,344,7.5038381E8,7.5038381E8,0.0,0.0,3.7074532E7,0.0,7.1330925E8
419302061,1563111,8750408,343,7.5037779E8,7.5037779E8,0.0,0.0,3.7081516E7,0.0,7.1329632E8
427204171,1593146,8853643,344,7.5037197E8,7.5037197E8,0.0,0.0,3.7076496E7,0.0,7.1329542E8
435203246,1623187,8957629,341,7.5036627E8,7.5036627E8,0.0,0.0,3.707368E7,0.0,7.1329261E8
443048179,1653242,9060008,344,7.503607E8,7.503607E8,0.0,0.0,3.7072316E7,0.0,7.1328838E8
450979785,1683265,9165444,344,7.5035514E8,7.5035514E8,0.0,0.0,3.707624E7,0.0,7.1327891E8
458865407,1713297,9269641,341,7.5035034E8,7.5035034E8,0.0,0.0,3.7067788E7,0.0,7.1328256E8
466741480,1743321,9372412,340,7.5034579E8,7.5034579E8,0.0,0.0,3.706634E7,0.0,7.1327949E8
474810020,1773365,9474380,339,7.5034144E8,7.5034144E8,0.0,0.0,3.7070856E7,0.0,7.1327059E8
482703545,1803431,9576224,340,7.5033715E8,7.5033715E8,0.0,0.0,3.7070916E7,0.0,7.1326624E8
