Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
0,7.105087804186543,0.0,1.7992496053950567E9,59974.98429077252
1,7.281308597100864,0.0,2.6996807173228507E9,89989.35706784535
2,7.406312005511673,0.0,3.6001115004834905E9,120003.708444008
3,7.5032843231506074,0.0,4.500786134761151E9,150026.19920001895
4,7.649331996948359,0.0,6.299937091288361E9,120003.708444008
5,7.758509942364659,0.0,8.100545753527037E9,150026.19920001895
6,7.845645269781375,0.0,9.900330743346884E9,180021.79491728064
7,7.918072038942437,0.0,1.169705556541489E10,209959.43222925978
8,7.9800973672444115,0.0,1.3492795871595886E10,239886.24023158537
9,8.034367532731698,0.0,1.528875692204029E10,269810.03320331656
10,8.08259588638179,0.0,1.7084433511863075E10,299733.99303691543
11,8.008326256357797,0.0,1.4398951555083347E10,180021.79491728064
12,8.082856684878811,0.0,1.7094695989971994E10,209959.43222925978
13,8.14641463139101,0.0,1.9788797246377018E10,239886.24023158537
14,8.201866709444259,0.0,2.248389447792647E10,269810.03320331656
15,8.251035177298753,0.0,2.5179091775242157E10,299733.99303691543
16,8.295203152505788,0.0,2.7874564123226776E10,329676.2178767681
17,8.335280184323206,0.0,3.0569276580258465E10,359596.4061130097
18,8.371994305573596,0.0,3.32659034949513E10,389540.03243033786
19,8.405872393677353,0.0,3.596478339204712E10,419517.32039764104
20,8.437291338347945,0.0,3.866307825840628E10,449491.46953900385
21,8.251166908428354,0.0,2.5186730318011337E10,239886.24023158537
22,8.309110930597285,0.0,2.878166265160068E10,269810.03320331656
23,8.360236853541416,0.0,3.2377391613773636E10,299733.99303691543
24,8.405966493133972,0.0,3.597257680673723E10,329676.2178767681
25,8.447318137672665,0.0,3.956609951407464E10,359596.4061130097
26,8.485102653798087,0.0,4.316261982547231E10,389540.03243033786
27,8.51988254835821,0.0,4.6761424231637566E10,419517.32039764104
28,8.552072389493551,0.0,5.0359059076802444E10,449491.46953900385
29,8.582022245348007,0.0,5.395447811718244E10,479450.477891492
30,8.610025956651542,0.0,5.754813298107575E10,509394.84744301473
31,8.63633326688981,0.0,6.114185037516523E10,539336.5645340667
32,8.661151906433352,0.0,6.473769691023422E10,569294.1465276597
33,8.684631383726085,0.0,6.833398505485889E10,599257.8405999498
34,8.447434275237113,0.0,3.957668157344484E10,299733.99303691543
35,8.494154723770237,0.0,4.407170750375224E10,329676.2178767681
36,8.536309676100977,0.0,4.856404760360222E10,359596.4061130097
37,8.574763348775136,0.0,5.306016442870808E10,389540.03243033786
38,8.610106092662148,0.0,5.755875275315411E10,419517.32039764104
39,8.64277683239821,0.0,6.205576739744084E10,449491.46953900385
40,8.673144229118812,0.0,6.655023310259846E10,479450.477891492
41,8.701513787745412,0.0,7.104265297386781E10,509394.84744301473
