Iteration,Time (ms),# Perturbations,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Slip Rate,Rupture Rate Minimization,MFD UncertaintyWeighted
10085653,30078,1209674,3080,3.66795136E8,3.66795136E8,0.0,0.0,3.4748236E7,0.0,3.3204688E8
17746408,60137,2121685,2369,3.538704E8,3.538704E8,0.0,0.0,2.816777E7,0.0,3.25702624E8
25343382,90190,2767926,1897,3.52007264E8,3.52007264E8,0.0,0.0,2.7034088E7,0.0,3.24973152E8
33053345,120263,3307879,1759,3.51257792E8,3.51257792E8,0.0,0.0,2.6549412E7,0.0,3.24708384E8
40661207,150297,3800003,1597,3.50820128E8,3.50820128E8,0.0,0.0,2.625516E7,0.0,3.2456496E8
48427808,180352,4265177,1567,3.50525408E8,3.50525408E8,0.0,0.0,2.60387E7,0.0,3.2448672E8
56058922,210407,4704073,1479,3.50300064E8,3.50300064E8,0.0,0.0,2.5905156E7,0.0,3.24394912E8
63917101,240467,5125646,1454,3.50119328E8,3.50119328E8,0.0,0.0,2.5780912E7,0.0,3.24338432E8
71594631,270530,5527888,1463,3.49966272E8,3.49966272E8,0.0,0.0,2.5694512E7,0.0,3.24271776E8
79132872,300552,5916824,1383,3.49835488E8,3.49835488E8,0.0,0.0,2.5618704E7,0.0,3.24216768E8
86669451,330578,6294489,1356,3.49721728E8,3.49721728E8,0.0,0.0,2.5539364E7,0.0,3.24182368E8
96023084,360709,6676420,1324,3.49625824E8,3.49625824E8,0.0,0.0,2.5486382E7,0.0,3.24139456E8
104861999,390856,7041322,1292,3.4954464E8,3.4954464E8,0.0,0.0,2.5429638E7,0.0,3.24114976E8
113335095,420944,7410723,1326,3.4946864E8,3.4946864E8,0.0,0.0,2.5389416E7,0.0,3.24079232E8
120943968,450973,7752174,1275,3.49402688E8,3.49402688E8,0.0,0.0,2.535257E7,0.0,3.24050112E8
128521251,480995,8083852,1255,3.49346688E8,3.49346688E8,0.0,0.0,2.5305212E7,0.0,3.24041504E8
136102961,511015,8414359,1243,3.49294336E8,3.49294336E8,0.0,0.0,2.5278114E7,0.0,3.24016224E8
143759227,541035,8737733,1211,3.49246688E8,3.49246688E8,0.0,0.0,2.5251236E7,0.0,3.23995424E8
151303079,571055,9055680,1235,3.49205664E8,3.49205664E8,0.0,0.0,2.5216944E7,0.0,3.23988704E8
158878480,601074,9370853,1189,3.49168E8,3.49168E8,0.0,0.0,2.5171876E7,0.0,3.23996128E8
166510426,631116,9684628,1177,3.49133824E8,3.49133824E8,0.0,0.0,2.5149054E7,0.0,3.23984768E8
174075863,661155,9994344,1163,3.49101408E8,3.49101408E8,0.0,0.0,2.5114276E7,0.0,3.23987104E8
181617308,691174,10299545,1182,3.49070848E8,3.49070848E8,0.0,0.0,2.5100968E7,0.0,3.23969888E8
189187846,721213,10604060,1155,3.49041984E8,3.49041984E8,0.0,0.0,2.5075384E7,0.0,3.23966592E8
196836555,751250,10906724,1150,3.49014688E8,3.49014688E8,0.0,0.0,2.5056094E7,0.0,3.23958592E8
204463395,781270,11199858,1169,3.48990656E8,3.48990656E8,0.0,0.0,2.503985E7,0.0,3.23950816E8
212204439,811299,11487796,1112,3.48968128E8,3.48968128E8,0.0,0.0,2.5009472E7,0.0,3.23958656E8
219766697,841339,11769412,1123,3.4894752E8,3.4894752E8,0.0,0.0,2.4998522E7,0.0,3.23948992E8
227524553,871384,12050532,1108,3.48929152E8,3.48929152E8,0.0,0.0,2.4973712E7,0.0,3.23955424E8
235106640,901414,12325827,1136,3.48912192E8,3.48912192E8,0.0,0.0,2.4959444E7,0.0,3.23952736E8
242747566,931450,12601037,1105,3.48896384E8,3.48896384E8,0.0,0.0,2.4933824E7,0.0,3.2396256E8
250290596,961480,12873041,1093,3.48881216E8,3.48881216E8,0.0,0.0,2.4928932E7,0.0,3.23952288E8
257927800,991499,13146500,1109,3.48866624E8,3.48866624E8,0.0,0.0,2.4908472E7,0.0,3.23958144E8
265480667,1021521,13415754,1086,3.4885264E8,3.4885264E8,0.0,0.0,2.4910352E7,0.0,3.23942272E8
273175209,1051551,13682800,1052,3.48839264E8,3.48839264E8,0.0,0.0,2.4897292E7,0.0,3.23941984E8
280709222,1081580,13944849,1089,3.48827168E8,3.48827168E8,0.0,0.0,2.4887268E7,0.0,3.23939904E8
288255706,1111610,14209642,1058,3.48815744E8,3.48815744E8,0.0,0.0,2.4873476E7,0.0,3.23942272E8
297404344,1141697,14484247,1058,3.48804224E8,3.48804224E8,0.0,0.0,2.4863844E7,0.0,3.23940384E8
304987696,1171723,14744486,1061,3.48793376E8,3.48793376E8,0.0,0.0,2.4855818E7,0.0,3.23937536E8
312603174,1201778,15003552,1052,3.48783072E8,3.48783072E8,0.0,0.0,2.4844706E7,0.0,3.23938368E8
320301101,1231809,15262875,1028,3.48772992E8,3.48772992E8,0.0,0.0,2.4834898E7,0.0,3.2393808E8
327930775,1261839,15518021,1072,3.48763648E8,3.48763648E8,0.0,0.0,2.483413E7,0.0,3.23929536E8
335466329,1291870,15768015,1056,3.48754848E8,3.48754848E8,0.0,0.0,2.4831472E7,0.0,3.2392336E8
343054637,1321900,16017150,1021,3.48746432E8,3.48746432E8,0.0,0.0,2.4827044E7,0.0,3.23919392E8
351719190,1352021,16278425,1029,3.48738048E8,3.48738048E8,0.0,0.0,2.4819538E7,0.0,3.23918528E8
359671013,1382071,16531311,1016,3.48730112E8,3.48730112E8,0.0,0.0,2.4805206E7,0.0,3.23924928E8
367275735,1412102,16778758,1027,3.48722336E8,3.48722336E8,0.0,0.0,2.4798534E7,0.0,3.23923808E8
374882726,1442149,17024171,1028,3.48715008E8,3.48715008E8,0.0,0.0,2.4795258E7,0.0,3.23919744E8
382510195,1472185,17270196,1032,3.4870784E8,3.4870784E8,0.0,0.0,2.4788824E7,0.0,3.2391904E8
390259871,1502226,17514447,1020,3.48701184E8,3.48701184E8,0.0,0.0,2.4779786E7,0.0,3.23921408E8
397825217,1532261,17756485,1024,3.48694752E8,3.48694752E8,0.0,0.0,2.4776902E7,0.0,3.23917856E8
405479242,1562323,17998486,1037,3.48688128E8,3.48688128E8,0.0,0.0,2.4778422E7,0.0,3.23909696E8
414181366,1592425,18247254,978,3.48681696E8,3.48681696E8,0.0,0.0,2.477126E7,0.0,3.23910432E8
422260285,1622593,18492806,1046,3.4867552E8,3.4867552E8,0.0,0.0,2.4759728E7,0.0,3.23915776E8
430604716,1652698,18743038,979,3.48669472E8,3.48669472E8,0.0,0.0,2.4762678E7,0.0,3.23906784E8
439346198,1682815,18989080,982,3.48663584E8,3.48663584E8,0.0,0.0,2.4757582E7,0.0,3.23906016E8
447014758,1712851,19224175,1005,3.48657984E8,3.48657984E8,0.0,0.0,2.474858E7,0.0,3.23909408E8
454632803,1742881,19459569,1016,3.48652352E8,3.48652352E8,0.0,0.0,2.4746964E7,0.0,3.23905408E8
462315474,1772911,19685141,962,3.48648064E8,3.48648064E8,0.0,0.0,2.476593E7,0.0,3.23882144E8
469860048,1802940,19904918,979,3.48644224E8,3.48644224E8,0.0,0.0,2.4763252E7,0.0,3.23880992E8
