Iteration,Time (ms),# Perturbations,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Slip Rate,Rupture Rate Minimization,MFD UncertaintyWeighted
10645859,30077,1409903,4235,3.27906656E8,3.27906656E8,0.0,0.0,3117843.2,40401.867,3.24748416E8
17980154,60123,2726334,4363,3.15379616E8,3.15379616E8,0.0,0.0,990910.75,42202.23,3.14346496E8
26408181,90260,3849929,3574,3.1238208E8,3.1238208E8,0.0,0.0,755152.4,42819.418,3.11584096E8
36749884,120424,4878120,3291,3.1106624E8,3.1106624E8,0.0,0.0,662342.44,42931.676,3.1036096E8
44738198,150542,5744294,3033,3.1027104E8,3.1027104E8,0.0,0.0,612874.94,42974.47,3.096152E8
52869779,180723,6551675,3042,3.09676608E8,3.09676608E8,0.0,0.0,578232.9,43046.125,3.09055328E8
61111851,210869,7331395,2880,3.09204064E8,3.09204064E8,0.0,0.0,550092.6,43055.016,3.08610912E8
69417505,241008,8059701,2704,3.08836E8,3.08836E8,0.0,0.0,523163.16,43133.746,3.08269728E8
77773902,271216,8774348,2543,3.08512224E8,3.08512224E8,0.0,0.0,508187.8,43190.477,3.07960864E8
87525853,301410,9474559,2569,3.08236608E8,3.08236608E8,0.0,0.0,489337.03,43220.043,3.07704064E8
94840003,331555,10102375,2496,3.08006112E8,3.08006112E8,0.0,0.0,478847.34,43296.844,3.07483968E8
102881220,361716,10728490,2365,3.07804704E8,3.07804704E8,0.0,0.0,463608.8,43360.184,3.07297728E8
112262007,391922,11365258,2289,3.07626816E8,3.07626816E8,0.0,0.0,454295.3,43438.02,3.07129088E8
121154513,422110,11973909,2262,3.07474976E8,3.07474976E8,0.0,0.0,447499.8,43483.312,3.06983968E8
129049769,452283,12519724,2124,3.073496E8,3.073496E8,0.0,0.0,439828.6,43519.598,3.0686624E8
137118592,482466,13045070,2062,3.0724688E8,3.0724688E8,0.0,0.0,431612.0,43591.8,3.0677168E8
144501541,512501,13540945,2096,3.07158528E8,3.07158528E8,0.0,0.0,427094.3,43650.152,3.06687776E8
151879565,542532,14028893,1996,3.07079936E8,3.07079936E8,0.0,0.0,420967.88,43655.332,3.06615296E8
159715988,572650,14505808,1946,3.07009408E8,3.07009408E8,0.0,0.0,415155.1,43653.453,3.06550592E8
168516341,602809,14995405,1943,3.06942368E8,3.06942368E8,0.0,0.0,412831.94,43641.594,3.06485888E8
176035682,632989,15460573,1911,3.0688E8,3.0688E8,0.0,0.0,406959.12,43636.418,3.06429408E8
184212453,663182,15921146,1866,3.06818368E8,3.06818368E8,0.0,0.0,404600.3,43626.05,3.06370144E8
192407986,693352,16380018,1855,3.06761696E8,3.06761696E8,0.0,0.0,403062.62,43588.43,3.0631504E8
201238217,723558,16851499,1802,3.06710048E8,3.06710048E8,0.0,0.0,401686.56,43590.92,3.06264768E8
209308411,753706,17285931,1798,3.06662784E8,3.06662784E8,0.0,0.0,398253.2,43581.645,3.06220928E8
217279399,783969,17721280,1750,3.06617856E8,3.06617856E8,0.0,0.0,396841.47,43585.32,3.06177408E8
224637530,813988,18128346,1724,3.06576608E8,3.06576608E8,0.0,0.0,393130.22,43563.863,3.06139936E8
232137802,844020,18533580,1712,3.06538432E8,3.06538432E8,0.0,0.0,392757.3,43601.02,3.0610208E8
239491604,874056,18931989,1730,3.06503392E8,3.06503392E8,0.0,0.0,391455.78,43613.426,3.0606832E8
246861406,904081,19326059,1727,3.06469664E8,3.06469664E8,0.0,0.0,391226.38,43635.36,3.06034816E8
254262104,934111,19716131,1683,3.0643696E8,3.0643696E8,0.0,0.0,388522.1,43650.938,3.060048E8
261594227,964151,20099532,1662,3.06405632E8,3.06405632E8,0.0,0.0,387183.75,43653.15,3.05974784E8
269054523,994188,20478701,1655,3.06375744E8,3.06375744E8,0.0,0.0,387592.9,43669.92,3.0594448E8
276402514,1024211,20857229,1656,3.0634704E8,3.0634704E8,0.0,0.0,386771.5,43688.855,3.05916608E8
283800586,1054245,21229873,1607,3.0631936E8,3.0631936E8,0.0,0.0,385352.12,43712.555,3.05890272E8
291184739,1084265,21600807,1604,3.062944E8,3.062944E8,0.0,0.0,382928.78,43744.016,3.05867744E8
299285587,1114324,21980788,1585,3.06269952E8,3.06269952E8,0.0,0.0,381238.0,43770.594,3.05844928E8
307782007,1144551,22365784,1571,3.0624736E8,3.0624736E8,0.0,0.0,380740.34,43798.586,3.05822848E8
315124565,1174592,22715854,1527,3.06228032E8,3.06228032E8,0.0,0.0,379865.03,43811.957,3.05804352E8
322451722,1204611,23062354,1553,3.06210496E8,3.06210496E8,0.0,0.0,378359.47,43825.734,3.0578832E8
329769158,1234641,23409147,1558,3.06193888E8,3.06193888E8,0.0,0.0,377251.84,43855.39,3.05772768E8
337287006,1264694,23757495,1569,3.06177152E8,3.06177152E8,0.0,0.0,376233.38,43871.754,3.05757056E8
344593466,1294725,24100781,1504,3.06161152E8,3.06161152E8,0.0,0.0,374968.88,43891.062,3.05742304E8
352422304,1324846,24443610,1493,3.06145888E8,3.06145888E8,0.0,0.0,375043.34,43913.97,3.05726944E8
360942198,1355012,24785864,1505,3.0613056E8,3.0613056E8,0.0,0.0,373954.88,43939.59,3.05712672E8
370060811,1385186,25132891,1494,3.06116E8,3.06116E8,0.0,0.0,373411.5,43967.06,3.05698624E8
378704285,1415350,25480739,1471,3.06101664E8,3.06101664E8,0.0,0.0,373111.78,43975.953,3.05684576E8
386177537,1445438,25800505,1476,3.0608864E8,3.0608864E8,0.0,0.0,372810.7,43989.17,3.0567184E8
393569532,1475476,26118768,1474,3.06075712E8,3.06075712E8,0.0,0.0,372171.4,44011.254,3.0565952E8
403820252,1505621,26467574,1415,3.06062528E8,3.06062528E8,0.0,0.0,371303.16,44026.984,3.056472E8
412664553,1535811,26801326,1413,3.06049984E8,3.06049984E8,0.0,0.0,371480.5,44047.42,3.05634464E8
422045303,1565999,27126484,1394,3.06038336E8,3.06038336E8,0.0,0.0,370696.84,44058.38,3.05623584E8
430555041,1596171,27438375,1367,3.06026976E8,3.06026976E8,0.0,0.0,369701.25,44078.223,3.05613184E8
437996128,1626201,27735569,1376,3.06016704E8,3.06016704E8,0.0,0.0,369497.03,44091.715,3.05603136E8
445322150,1656220,28028626,1321,3.06007232E8,3.06007232E8,0.0,0.0,368995.3,44109.22,3.05594112E8
452732761,1686251,28320699,1331,3.05997952E8,3.05997952E8,0.0,0.0,368701.8,44126.223,3.0558512E8
460090768,1716281,28608226,1327,3.05989312E8,3.05989312E8,0.0,0.0,368312.75,44156.74,3.05576832E8
467364612,1746311,28889559,1332,3.05981184E8,3.05981184E8,0.0,0.0,367658.47,44188.625,3.05569344E8
474803996,1776359,29174163,1294,3.05973088E8,3.05973088E8,0.0,0.0,367173.88,44210.77,3.05561696E8
482575264,1806420,29460366,1289,3.05965024E8,3.05965024E8,0.0,0.0,366651.34,44241.3,3.05554144E8
